id,descripcion,user_id,created_at,updated_at,deleted_at
0,0. No definido,1,2021-09-24 10:29:45.000000,2021-09-24 10:29:45.000000,
1,1. Habitante de la calle,1,,,
2,2. Población infantil abandonada a cargo del ICBF,1,,,
3,3. Madres Comunitarias,1,,,
4,4. Creador o gestor cultural,1,,,
5,5. Población con SISBEN,1,,,
6,6. Menores desvinculados del conflicto armado bajo la protección del ICBF.,1,,,
7,7. Discapacitado,1,,,
8,8. Población desmovilizada y/o miembros del grupo armado ilegal que celebren acuerdos de paz con,1,,,
9,9. Victimas del conflicto armado interno,1,,,
10,10. Poblacion infantil Vulnerable bajo proteccion en Instiuciones diferentes al ICBF,1,,,
11,11. Programa en protección a testigos,1,,,
12,12. Población en Centros psiquiatricos,1,,,
13,13. Población rural migratorio especial del régimen,1,,,
14,14. Población reclusa a cargo de la entidad territorial subsidiado. ,1,,,
15,15. Población rural no migratoria,1,,,
16,16. Adulto mayor en centros de protección,1,,,
17,17. Comunidades indígenas,1,,,
18,18. Rom (Gitano),1,,,
19,19. Negro (a) o Mulato (a) o Afrocolombiano (a),1,,,
20,20. Raizal (Población de San Andres y Providencia),1,,,
22,22. Personas en prisión domiciliaria a cargo del INPEC.,1,,,
23,23. Personas que dejen de ser madres comunitarias,1,,,
24,24. Migrantes colombianos repatriados,1,,,
25,25. Adolescentes y jóvenes a cargo del ICBF en el sistema de responsabilidad penal para adolescentes,1,,,
26,26. Miembros de los grupos armados al margen de la ley que celebren acuerdos de paz con el Gobierno,1,,,
27,27. Recien nacidos y menores de edad de padres no afiliados,1,,,
31,31. Afiliado de oficio sin encuesta Sisbén ni población especial,1,,,
29,29. Personas con discapacidad de escasos recursos y en condición de abandono en centros de protecció,1,,,
30,30. Migrante venezolano con PEP e hijos menores de edad con documento válido,1,,,
28,"28. Los voluntarios acreditados y activos de la Defensa Civil, Cruz Roja y Cuerpos de Bomberos y su núcleo familiar.",1,,,
32,32. Personas que se encuentren detenidas sin condena o cumpliendo medida de aseguramiento en centros,1,,,
